MovieCode,Period,Crores,actor,STATUS
BDCQ.SED3RGA,2018.09,44907,,F
BDCQ.SED3RGA,2018.12,45809,,F
BDCQ.SED3RGA,2019.03,47690,,F
BDCQ.SED3RGA,2019.06,46690,,F
BDCQ.SED3RGA,2019.09,47068,,F
BDCQ.SED3RGA,2019.12,48558,,F
BDCQ.SED3RGA,2020.03,48749,,F
BDCQ.SED3RGA,2020.06,47130,,F
BDCQ.SED3RGA,2020.09,47360,,F
BDCQ.SED3RGA,2020.12,48143,,F
BDCQ.SED3RGA,2021.03,48149,,F
BDCQ.SED3RGA,2021.06,48828,,F
BDCQ.SED3RGA,2021.09,47804,,F
BDCQ.SED3RGA,2021.12,48524,,F
BDCQ.SED3RGA,2022.03,48153,,F
BDCQ.SED3RHA,2011.06,86477,,F
BDCQ.SED3RHA,2011.09,87340,,F
BDCQ.SED3RHA,2011.12,88771,,F
BDCQ.SED3RHA,2012.03,86703,,F
BDCQ.SED3RHA,2012.06,87183,,F
BDCQ.SED3RHA,2012.09,87129,,F
BDCQ.SED3RHA,2012.12,88520,,F
BDCQ.SED3RHA,2013.03,86416,,F
BDCQ.SED3RHA,2013.06,86865,,F
BDCQ.SED3RHA,2013.09,87818,,F
BDCQ.SED3RHA,2013.12,88655,,F
BDCQ.SED3RHA,2014.03,87047,,F
BDCQ.SED3RHA,2014.06,87695,,F
BDCQ.SED3RHA,2014.09,88075,,F
BDCQ.SED3RHA,2014.12,90012,,F
BDCQ.SED3RHA,2015.03,88433,,F
BDCQ.SED3RHA,2015.06,89015,,F
BDCQ.SED3RHA,2015.09,89117,,F
BDCQ.SED3RHA,2015.12,90351,,F
BDCQ.SED3RHA,2016.03,89415,,F
BDCQ.SED3RHA,2016.06,89885,,F
BDCQ.SED3RHA,2016.09,90437,,F
BDCQ.SED3RHA,2016.12,91965,,F
BDCQ.SED3RHA,2017.03,91026,,F
BDCQ.SED3RHA,2017.06,92183,,F
BDCQ.SED3RHA,2017.09,92979,,F
BDCQ.SED3RHA,2017.12,93620,,F
BDCQ.SED3RHA,2018.03,91754,,F
BDCQ.SED3RHA,2018.06,94799,,F
BDCQ.SED3RHA,2018.09,93554,,F
BDCQ.SED3RHA,2018.12,95535,,F
BDCQ.SED3RHA,2019.03,95361,,F
BDCQ.SED3RHA,2019.06,94644,,F
BDCQ.SED3RHA,2019.09,94954,,F
BDCQ.SED3RHA,2019.12,97339,,F
BDCQ.SED3RHA,2020.03,96418,,F
BDCQ.SED3RHA,2020.06,95738,,F
BDCQ.SED3RHA,2020.09,96562,,F
BDCQ.SED3RHA,2020.12,98672,,F
BDCQ.SED3RHA,2021.03,95206,,F
BDCQ.SED3RHA,2021.06,98007,,F
